game,log,mc_cache_entries,mc_seconds,n_players,noise,rs_seconds
satisfiability,road_traffic_fines,8,0.08,3,1.0,0.01
liveness,road_traffic_fines,8,0.05,3,1.0,0.01
safety,road_traffic_fines,8,0.05,3,1.0,0.01
satisfiability,bpi_2013_incidents,16,0.1,4,1.0,0.01
liveness,bpi_2013_incidents,16,0.1,4,1.0,0.01
safety,bpi_2013_incidents,16,0.1,4,1.0,0.01
satisfiability,sepsis,64,0.41,6,1.0,0.02
liveness,sepsis,64,0.41,6,1.0,0.02
safety,sepsis,64,0.39,6,1.0,0.02
satisfiability,bpi_2013_incidents,128,0.28,7,0.25,0.02
liveness,bpi_2013_incidents,128,0.28,7,0.25,0.03
safety,bpi_2013_incidents,128,0.27,7,0.25,0.02
satisfiability,bpi_2013_incidents,128,0.27,7,0.5,0.02
liveness,bpi_2013_incidents,128,0.27,7,0.5,0.03
safety,bpi_2013_incidents,128,0.26,7,0.5,0.02
satisfiability,sepsis,1914,2.4,11,0.5,0.48
liveness,sepsis,1914,2.39,11,0.5,0.53
safety,sepsis,1914,2.35,11,0.5,0.49
satisfiability,bpi_2013_incidents,3162,2.58,12,0.0,0.66
liveness,bpi_2013_incidents,3162,2.86,12,0.0,0.67
safety,bpi_2013_incidents,3162,2.61,12,0.0,0.71
satisfiability,road_traffic_fines,3162,2.73,12,0.5,0.88
liveness,road_traffic_fines,3162,2.77,12,0.5,0.89
safety,road_traffic_fines,3162,2.71,12,0.5,0.94
satisfiability,road_traffic_fines,6265,7.84,14,0.25,1.72
liveness,road_traffic_fines,6265,7.97,14,0.25,1.72
safety,road_traffic_fines,6265,8.09,14,0.25,1.72
satisfiability,sepsis,15624,48.17,21,0.25,4.74
liveness,sepsis,15624,49.32,21,0.25,4.89
safety,sepsis,15624,48.4,21,0.25,4.68
satisfiability,road_traffic_fines,15624,45.12,21,0.0,4.6
liveness,road_traffic_fines,15624,45.59,21,0.0,4.53
safety,road_traffic_fines,15624,44.71,21,0.0,4.55
satisfiability,sepsis,22315,155.11,27,0.0,24.92
liveness,sepsis,22315,157.34,27,0.0,23.93
safety,sepsis,22315,154.13,27,0.0,22.94
