game,log,mc_value,noise,player,rs_value
satisfiability,road_traffic_fines,0.0,1.0,Seq2@3,0.0
satisfiability,road_traffic_fines,0.0,1.0,Seq7@2,0.0
satisfiability,road_traffic_fines,0.0,1.0,Seq2@1,0.0
liveness,road_traffic_fines,0.0,1.0,Seq2@3,0.0
liveness,road_traffic_fines,0.0,1.0,Seq7@2,0.0
liveness,road_traffic_fines,0.0,1.0,Seq2@1,0.0
safety,road_traffic_fines,0.0,1.0,Seq2@3,0.0
safety,road_traffic_fines,0.0,1.0,Seq7@2,0.0
safety,road_traffic_fines,0.0,1.0,Seq2@1,0.0
satisfiability,bpi_2013_incidents,0.675,1.0,Seq2@2@1,0.388579
satisfiability,bpi_2013_incidents,0.166,1.0,Seq2@2@2,0.092765
satisfiability,bpi_2013_incidents,0.159,1.0,Seq2@2@3,0.098962
satisfiability,bpi_2013_incidents,0.0,1.0,Seq3@1,-0.216279
liveness,bpi_2013_incidents,0.0,1.0,Seq2@2@1,0.0
liveness,bpi_2013_incidents,0.0,1.0,Seq2@2@2,0.0
liveness,bpi_2013_incidents,0.0,1.0,Seq2@2@3,0.0
liveness,bpi_2013_incidents,0.0,1.0,Seq3@1,0.0
safety,bpi_2013_incidents,0.0,1.0,Seq2@2@1,0.0
safety,bpi_2013_incidents,0.0,1.0,Seq2@2@2,0.0
safety,bpi_2013_incidents,0.0,1.0,Seq2@2@3,0.0
safety,bpi_2013_incidents,0.0,1.0,Seq3@1,0.0
satisfiability,sepsis,0.0,1.0,Seq2@2@1,0.0
satisfiability,sepsis,0.0,1.0,Seq2@2@2,0.0
satisfiability,sepsis,0.0,1.0,Seq2@2@3,0.0
satisfiability,sepsis,0.0,1.0,Seq2@2@4,0.0
satisfiability,sepsis,0.0,1.0,Seq2@2@5,0.0
satisfiability,sepsis,0.0,1.0,Seq7@1,0.0
liveness,sepsis,0.0,1.0,Seq2@2@1,0.0
liveness,sepsis,0.0,1.0,Seq2@2@2,0.0
liveness,sepsis,0.0,1.0,Seq2@2@3,0.0
liveness,sepsis,0.0,1.0,Seq2@2@4,0.0
liveness,sepsis,0.0,1.0,Seq2@2@5,0.0
liveness,sepsis,0.0,1.0,Seq7@1,0.0
safety,sepsis,0.0,1.0,Seq2@2@1,0.0
safety,sepsis,0.0,1.0,Seq2@2@2,0.0
safety,sepsis,0.0,1.0,Seq2@2@3,0.0
safety,sepsis,0.0,1.0,Seq2@2@4,0.0
safety,sepsis,0.0,1.0,Seq2@2@5,0.0
safety,sepsis,0.0,1.0,Seq7@1,0.0
satisfiability,bpi_2013_incidents,0.437,0.25,Seq2@3@1,0.662573
satisfiability,bpi_2013_incidents,0.21,0.25,Seq2@4@1,0.112086
satisfiability,bpi_2013_incidents,0.202,0.25,Seq2@4@2,0.153563
satisfiability,bpi_2013_incidents,0.09,0.25,Seq2@2@2,-0.012243
satisfiability,bpi_2013_incidents,0.032,0.25,Seq2@3@2,-0.117883
satisfiability,bpi_2013_incidents,0.029,0.25,Seq2@2@1,-0.163715
satisfiability,bpi_2013_incidents,0.0,0.25,Seq2@1,-0.179433
liveness,bpi_2013_incidents,0.085,0.25,Seq2@4@1,0.16338
liveness,bpi_2013_incidents,0.08,0.25,Seq2@4@2,0.171344
liveness,bpi_2013_incidents,0.0,0.25,Seq2@3@2,-0.028563
liveness,bpi_2013_incidents,0.0,0.25,Seq2@2@1,-0.040712
liveness,bpi_2013_incidents,0.0,0.25,Seq2@1,-0.018093
liveness,bpi_2013_incidents,-0.073,0.25,Seq2@3@1,-0.086374
liveness,bpi_2013_incidents,-0.092,0.25,Seq2@2@2,-0.087547
safety,bpi_2013_incidents,0.0,0.25,Seq2@3@1,0.0
safety,bpi_2013_incidents,0.0,0.25,Seq2@4@1,0.0
safety,bpi_2013_incidents,0.0,0.25,Seq2@4@2,0.0
safety,bpi_2013_incidents,0.0,0.25,Seq2@3@2,0.0
safety,bpi_2013_incidents,0.0,0.25,Seq2@2@1,0.0
safety,bpi_2013_incidents,0.0,0.25,Seq2@2@2,0.0
safety,bpi_2013_incidents,0.0,0.25,Seq2@1,0.0
satisfiability,bpi_2013_incidents,0.351,0.5,Seq2@3@1,0.452506
satisfiability,bpi_2013_incidents,0.245,0.5,Seq2@4@2,0.249755
satisfiability,bpi_2013_incidents,0.2,0.5,Seq2@2@1,0.355544
satisfiability,bpi_2013_incidents,0.095,0.5,Seq2@4@1,-0.018294
satisfiability,bpi_2013_incidents,0.078,0.5,Seq2@3@2,-0.051649
satisfiability,bpi_2013_incidents,0.031,0.5,Seq2@2@2,-0.201677
satisfiability,bpi_2013_incidents,0.0,0.5,Seq2@1,-0.283152
liveness,bpi_2013_incidents,0.0,0.5,Seq2@2@1,0.0
liveness,bpi_2013_incidents,0.0,0.5,Seq2@3@1,0.0
liveness,bpi_2013_incidents,0.0,0.5,Seq2@4@1,0.0
liveness,bpi_2013_incidents,0.0,0.5,Seq2@4@2,0.0
liveness,bpi_2013_incidents,0.0,0.5,Seq2@3@2,0.0
liveness,bpi_2013_incidents,0.0,0.5,Seq2@2@2,0.0
liveness,bpi_2013_incidents,0.0,0.5,Seq2@1,0.0
