game,jaccard10_mc_rs,kendall_tau_mc_rs,log,mc_final_delta_l1,mc_final_delta_max,noise,rs_final_delta_l1,rs_final_delta_max
satisfiability,1.0,1.0,road_traffic_fines,0.0,0.0,1.0,0.0,0.0
liveness,1.0,1.0,road_traffic_fines,0.0,0.0,1.0,0.0,0.0
safety,1.0,1.0,road_traffic_fines,0.0,0.0,1.0,0.0,0.0
satisfiability,1.0,0.6667,bpi_2013_incidents,0.002,0.001,1.0,0.019258,0.009146
liveness,1.0,1.0,bpi_2013_incidents,0.0,0.0,1.0,0.0,0.0
safety,1.0,1.0,bpi_2013_incidents,0.0,0.0,1.0,0.0,0.0
satisfiability,1.0,1.0,sepsis,0.0,0.0,1.0,0.0,0.0
liveness,1.0,1.0,sepsis,0.0,0.0,1.0,0.0,0.0
safety,1.0,1.0,sepsis,0.0,0.0,1.0,0.0,0.0
satisfiability,1.0,0.9048,bpi_2013_incidents,0.047333,0.012667,0.25,0.097006,0.030381
liveness,1.0,0.7143,bpi_2013_incidents,0.018,0.006667,0.25,0.029193,0.011104
safety,1.0,1.0,bpi_2013_incidents,0.0,0.0,0.25,0.0,0.0
satisfiability,1.0,0.9048,bpi_2013_incidents,0.04,0.015667,0.5,0.057475,0.022763
liveness,1.0,1.0,bpi_2013_incidents,0.0,0.0,0.5,0.0,0.0
safety,1.0,1.0,bpi_2013_incidents,0.0,0.0,0.5,0.0,0.0
satisfiability,1.0,0.9273,sepsis,0.030667,0.006,0.5,0.083426,0.01786
liveness,0.8182,0.7091,sepsis,0.013333,0.003667,0.5,0.006916,0.001477
safety,1.0,1.0,sepsis,0.0,0.0,0.5,0.0,0.0
satisfiability,0.8182,0.8182,bpi_2013_incidents,0.042667,0.009,0.0,0.080287,0.017869
liveness,1.0,1.0,bpi_2013_incidents,0.0,0.0,0.0,0.0,0.0
safety,1.0,1.0,bpi_2013_incidents,0.0,0.0,0.0,0.0,0.0
satisfiability,1.0,0.9091,road_traffic_fines,0.048667,0.012333,0.5,0.104493,0.024245
liveness,0.8182,0.7273,road_traffic_fines,0.010667,0.002,0.5,0.012556,0.00381
safety,1.0,1.0,road_traffic_fines,0.0,0.0,0.5,0.0,0.0
satisfiability,0.8182,0.7363,road_traffic_fines,0.053333,0.016667,0.25,0.130412,0.03638
liveness,0.8182,0.5824,road_traffic_fines,0.012,0.003,0.25,0.016861,0.00248
safety,1.0,1.0,road_traffic_fines,0.0,0.0,0.25,0.0,0.0
satisfiability,0.5385,0.5619,sepsis,0.056667,0.008333,0.25,0.144021,0.015892
liveness,0.5385,0.6952,sepsis,0.071333,0.017667,0.25,0.109558,0.014645
safety,1.0,1.0,sepsis,0.0,0.0,0.25,0.0,0.0
satisfiability,1.0,0.8381,road_traffic_fines,0.07,0.012333,0.0,0.150512,0.016559
liveness,0.25,0.0286,road_traffic_fines,0.000667,0.000333,0.0,0.019672,0.001548
safety,1.0,1.0,road_traffic_fines,0.0,0.0,0.0,0.0,0.0
satisfiability,0.6667,0.6866,sepsis,0.051333,0.005333,0.0,0.205836,0.028404
liveness,0.5385,0.5556,sepsis,0.062667,0.011667,0.0,0.219052,0.023623
safety,1.0,1.0,sepsis,0.0,0.0,0.0,0.0,0.0
